Jahr;Bundesland;Einwohner *1.000;mit Migrationshintergrund;Anteil in Prozent
2015;Nordrhein-Westfalen;17.666;4.519;25,6
2015;Rheinland-Pfalz;4.019;840;20,9
2015;Saarland;988;182;18,4
2015;Sachsen;4.057;221;5,4
2015;Sachsen-Anhalt;2.231;112;5,0
2015;Schleswig-Holstein;2.840;374;13,2
2015;Thüringen;2.153;106;4,9
2016;Baden-Württemberg;10.935;3.251;29,7
2016;Bayern;12.892;2.956;22,9
2016;Berlin;3.537;991;28,0
2016;Brandenburg;2.490;162;6,5
2016;Bremen;673;205;30,5
2016;Hamburg;1.794;538;30,0
2016;Hessen;6.202;1.870;30,2
2016;Mecklenburg-Vorpommern;1.614;102;6,3
2016;Niedersachsen;7.952;1.557;19,6
2016;Nordrhein-Westfalen;17.911;4.873;27,2
2016;Rheinland-Pfalz;4.064;920;22,6
2016;Saarland;996;199;20,0
2016;Sachsen;4.088;267;6,5
2016;Sachsen-Anhalt;2.242;140;6,2
2016;Schleswig-Holstein;2.866;414;14,4
2016;Thüringen;2.169;131;6,0
2017;Baden-Württemberg;10.902;3.552;32,6
2017;Bayern;12.835;3.217;25,1
2017;Berlin;3.559;1.098;30,9
2017;Brandenburg;2.459;184;7,5
2017;Bremen;671;224;33,4
2017;Hamburg;1.808;587;32,5
2017;Hessen;6.153;2.011;32,7
2017;Mecklenburg-Vorpommern;1.582;118;7,5
2017;Niedersachsen;7.854;1.733;22,1
2017;Nordrhein-Westfalen;17.725;5.284;29,8
2017;Rheinland-Pfalz;4.039;1.002;24,8
2017;Saarland;984;213;21,6
2017;Sachsen;4.019;316;7,9
2017;Sachsen-Anhalt;2.194;158;7,2
2017;Schleswig-Holstein;2.845;468;16,4
2017;Thüringen;2.112;143;6,8
2018;Baden-Württemberg;10.897;3.638;33,4
2018;Bayern;12.841;3.282;25,6
2018;Berlin;3.589;1.135;31,6
2018;Brandenburg;2.468;208;8,4
2018;Bremen;673;236;35,1
2018;Hamburg;1.825;607;33,3
2018;Hessen;6.169;2.075;33,6
2018;Mecklenburg-Vorpommern;1.577;124;7,9
2018;Niedersachsen;7.824;1.726;22,1
2018;Nordrhein-Westfalen;17.646;5.362;30,4
2018;Rheinland-Pfalz;4.010;1.045;26,1
2018;Saarland;977;220;22,5
2018;Sachsen;4.002;327;8,2
2018;Sachsen-Anhalt;2.163;168;7,8
2018;Schleswig-Holstein;2.841;492;17,3
2018;Thüringen;2.109;155;7,3
2019;Baden-Württemberg;10.963;3.702;33,8
2019;Bayern;12.907;3.340;25,9
2019;Berlin;3.604;1.206;33,5
2019;Brandenburg;2.471;212;8,6
2019;Bremen;676;247;36,5
2019;Hamburg;1.827;619;33,9
2019;Hessen;6.201;2.135;34,4
2019;Mecklenburg-Vorpommern;1.580;128;8,1
2019;Niedersachsen;7.845;1.750;22,3
2019;Nordrhein-Westfalen;17.665;5.449;30,8
2019;Rheinland-Pfalz;4.017;1.071;26,7
2019;Saarland;972;218;22,4
2019;Sachsen;4.007;339;8,5
2019;Sachsen-Anhalt;2.159;173;8,0
2019;Schleswig-Holstein;2.851;499;17,5
2019;Thüringen;2.102;163;7,8
